case id,prom1_unstranded,prom1_stranded_first,prom1_stranded_second,prom1_tpm_unstrande,prom1_fpkm_unstranded,prom1_fpkm_uq_unstranded,prom2_unstranded,prom2_stranded_first,prom2_stranded_second,prom2_tpm_unstrande,prom2_fpkm_unstranded,prom2_fpkm_uq_unstranded
acb7ec56-8a47-495f-a11b-2c9fb5d8fe95,61,31,30,0.7192,0.298,0.4182,124,58,66,1.7971,0.7446,1.0448
7ab3765f-910a-41c9-86cc-08534d2a4e4b,32,16,16,0.2433,0.1002,0.1183,2700,1365,1336,25.2348,10.3879,12.2702
b923ac70-70ea-4a82-8466-46350c5803bf,69,32,37,0.5772,0.2654,0.3787,14573,7268,7310,149.836,68.904,98.3092
5495b18a-10ec-427b-83b8-03ef4b587b13,6038,3093,2945,25.3384,9.0366,9.2871,2203,1091,1112,11.3629,4.0524,4.1648
9d25cd0e-0a3e-4ee0-b1a3-58ffab348c9d,782,384,398,3.6957,1.6378,1.9987,5876,2932,2949,34.1324,15.126,18.4593
d2c0d320-d1c5-4eed-af4f-15540e60db0b,61,29,32,0.3341,0.1155,0.125,5202,2596,2607,35.0244,12.1062,13.1004
c73244fd-d486-439f-a94f-fb0bd4e9ac8f,786,397,390,3.3062,1.0533,1.0919,5699,2847,2858,29.464,9.3872,9.7307
a36a4440-15ef-4837-904b-380a964d16f1,3467,1724,1745,20.9659,7.0554,7.2158,3966,1986,1981,29.4783,9.92,10.1456
78777a80-cc6c-46c9-a14a-837ac7943719,251,133,118,1.455,0.5281,0.5787,4680,2387,2297,33.3438,12.1021,13.2616
700e91bb-d675-41b2-bbbd-935767c7b447,357,187,170,2.7746,1.0081,1.1828,10103,5126,4979,96.5116,35.0663,41.1427
a6aad7f9-8444-4c2f-8e4b-b19fd453544f,2588,1317,1271,12.4834,5.0601,5.9916,7876,3942,3937,46.6945,18.9272,22.4115
7592a659-7175-486f-a16e-24a4b4365a36,840,399,441,3.4126,1.1832,1.207,9757,4902,4860,48.7211,16.892,17.2318
f64ebc7f-0e5a-42b4-af57-6cdb90d24f90,7739,3894,3845,38.2101,12.9448,14.1146,14914,7430,7487,90.506,30.6615,33.4324
29dccd25-4c4a-463b-a353-38a193337f38,1307,651,656,7.0854,2.2778,2.5214,49966,24885,25087,332.932,107.0321,118.4772
76cc2d21-eebc-4f09-9bc7-dbf7af0aafa8,50,27,23,0.261,0.0949,0.1126,16993,8519,8479,109.0062,39.6407,47.0408
0a48873a-092a-4b25-822b-b0b3c18c08a8,1195,592,603,5.9632,1.9267,2.1096,7375,3741,3638,45.2341,14.6151,16.0023
9a30dee8-962a-49db-a85a-c39515c91b68,1418,710,708,6.6254,2.4487,3.1608,16359,8159,8204,93.9476,34.7224,44.8202
a8c4a333-6b67-44c8-9000-516f8ccea788,26,12,14,0.2857,0.1123,0.1286,11419,5728,5693,154.1991,60.6377,69.4102
0e1598d8-cbe5-4113-95f1-4bcda061239b,860,419,441,3.6973,1.1362,1.1615,5537,2801,2738,29.2583,8.9911,9.1914
12581634-eebb-4841-8498-71dc9d78c546,632,317,315,3.5742,1.0633,1.1633,4746,2417,2329,32.99,9.8146,10.7369
18d21132-a795-4551-83ba-66483de423a2,315,155,160,1.5732,0.4899,0.5159,8311,4222,4094,51.0166,15.8868,16.7298
195ecf43-06bd-4ffe-8d8b-a766f3f7179b,24,14,10,0.1757,0.0552,0.0595,2548,1260,1289,22.923,7.2074,7.7603
196f4600-b6c9-4652-9f77-65c92883f8c1,34,24,10,0.183,0.0759,0.0808,1967,1004,964,13.0144,5.4005,5.7424
1aea3c25-d2bc-4ff5-bc27-32e939944e9d,28,15,13,0.1952,0.0695,0.0809,2856,1445,1412,24.4762,8.7162,10.1469
1d9893c8-0de3-4b07-b0ba-a53019b23eb4,1638,800,838,8.5319,2.7644,2.8722,5418,2676,2744,34.6864,11.2389,11.677
20336269-5a5b-4ba7-8fe8-665a1f9af738,593,284,309,4.9979,1.3642,1.446,4469,2227,2243,46.2954,12.636,13.3944
